symbol,date,持股分級,人數,持有股數,占集保庫存數比例,key_date,stock_id,分級說明
0050,2018-12-28,1,20364,5325780,0.56,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,10,134,18553700,1.98,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,11,54,15483900,1.65,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,12,18,8886000,0.94,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,13,9,6198000,0.66,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,14,8,7213420,0.77,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,15,49,556111000,59.44,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,17,95372,935500000,100.0,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,2,61520,121523000,12.99,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,3,7517,58849100,6.29,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,4,2246,28814400,3.08,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,5,1232,22582400,2.41,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,6,1044,26636700,2.84,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,7,469,16738400,1.78,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,8,282,12957500,1.38,2023-12-01 08:04:30.355037,0050,
0050,2018-12-28,9,426,29627700,3.16,2023-12-01 08:04:30.355037,0050,
0051,2018-12-28,1,245,41089,0.41,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,10,6,898000,8.98,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,11,2,422000,4.22,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,12,1,452000,4.52,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,13,2,1418000,14.18,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,14,0,0,0.0,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,15,0,0,0.0,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,17,2142,10000000,100.0,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,2,1633,3112540,31.12,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,3,148,1185440,11.85,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,4,42,536000,5.36,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,5,27,511000,5.11,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,6,13,340000,3.4,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,7,11,381934,3.81,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,8,5,236000,2.36,2023-12-01 08:04:30.355037,0051,
0051,2018-12-28,9,7,466000,4.66,2023-12-01 08:04:30.355037,0051,
0052,2018-12-28,1,554,165202,1.43,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,10,4,624468,5.43,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,11,0,0,0.0,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,12,0,0,0.0,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,13,0,0,0.0,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,14,0,0,0.0,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,15,2,9187000,79.88,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,17,964,11500000,100.0,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,2,348,641489,5.57,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,3,37,306829,2.66,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,4,4,48921,0.42,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,5,7,126470,1.09,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,6,3,76621,0.66,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,7,1,32000,0.27,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,8,0,0,0.0,2023-12-01 08:04:30.355037,0052,
0052,2018-12-28,9,4,291000,2.53,2023-12-01 08:04:30.355037,0052,
0053,2018-12-28,1,41,3699,0.05,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,10,1,130000,2.0,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,11,0,0,0.0,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,12,1,453000,6.98,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,13,1,644000,9.92,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,14,0,0,0.0,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,15,1,1741000,26.83,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,17,881,6488000,100.0,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,2,677,1416300,21.82,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,3,109,930000,14.33,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,4,15,202000,3.11,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,5,24,460000,7.09,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,6,4,101000,1.55,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,7,1,40000,0.61,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,8,3,144000,2.21,2023-12-01 08:04:30.355037,0053,
0053,2018-12-28,9,3,223000,3.43,2023-12-01 08:04:30.355037,0053,
0054,2018-12-28,1,43,2322,0.02,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,10,5,737000,6.62,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,11,2,620000,5.57,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,12,1,570000,5.12,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,13,0,0,0.0,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,14,0,0,0.0,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,15,1,2798000,25.15,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,17,1285,11124000,100.0,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,2,951,2015610,18.11,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,3,153,1318000,11.84,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,4,49,663000,5.96,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,5,43,830000,7.46,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,6,13,333000,2.99,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,7,11,419000,3.76,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,8,7,326000,2.93,2023-12-01 08:04:30.355037,0054,
0054,2018-12-28,9,6,492070,4.42,2023-12-01 08:04:30.355037,0054,
0055,2018-12-28,1,159,22802,0.05,2023-12-01 08:04:30.355037,0055,
0055,2018-12-28,10,16,2073000,4.86,2023-12-01 08:04:30.355037,0055,
0055,2018-12-28,11,8,2254000,5.28,2023-12-01 08:04:30.355037,0055,
0055,2018-12-28,12,2,892000,2.09,2023-12-01 08:04:30.355037,0055,
0055,2018-12-28,13,2,1381000,3.23,2023-12-01 08:04:30.355037,0055,
0055,2018-12-28,14,0,0,0.0,2023-12-01 08:04:30.355037,0055,
